epoch,max_epoch,loss,dice,bce,edge,lr
103,500,0.1108,0.1089,0.0013,0.0007,6.23e-06
104,500,0.1124,0.1104,0.0013,0.0007,6.21e-06
105,500,0.1114,0.1095,0.0012,0.0007,6.2e-06
106,500,0.1109,0.1089,0.0013,0.0007,6.19e-06
107,500,0.1103,0.1083,0.0012,0.0007,6.17e-06
108,500,0.1108,0.1089,0.0013,0.0007,6.16e-06
109,500,0.1101,0.1082,0.0012,0.0007,6.15e-06
110,500,0.1098,0.1079,0.0013,0.0007,6.13e-06
111,500,0.1102,0.1082,0.0012,0.0007,6.12e-06
112,500,0.1106,0.1087,0.0012,0.0007,6.11e-06
113,500,0.1097,0.1078,0.0012,0.0007,6.09e-06
114,500,0.1094,0.1075,0.0012,0.0007,6.08e-06
115,500,0.1101,0.1081,0.0012,0.0007,6.07e-06
116,500,0.1102,0.1082,0.0012,0.0007,6.05e-06
117,500,0.1093,0.1074,0.0012,0.0007,6.04e-06
118,500,0.1092,0.1072,0.0012,0.0007,6.02e-06
119,500,0.1094,0.1075,0.0012,0.0007,6.01e-06
120,500,0.1087,0.1068,0.0012,0.0007,6e-06
121,500,0.1097,0.1078,0.0012,0.0007,5.98e-06
122,500,0.1085,0.1066,0.0012,0.0007,5.97e-06
123,500,0.1086,0.1066,0.0012,0.0007,5.95e-06
124,500,0.1093,0.1074,0.0012,0.0007,5.94e-06
125,500,0.1086,0.1067,0.0012,0.0007,5.92e-06
126,500,0.1076,0.1057,0.0012,0.0007,5.91e-06
127,500,0.1085,0.1066,0.0012,0.0007,5.89e-06
128,500,0.1074,0.1055,0.0012,0.0007,5.88e-06
129,500,0.1077,0.1058,0.0012,0.0007,5.86e-06
130,500,0.1073,0.1054,0.0012,0.0007,5.85e-06
131,500,0.1071,0.1052,0.0012,0.0007,5.83e-06
132,500,0.1081,0.1062,0.0012,0.0007,5.81e-06
133,500,0.1072,0.1054,0.0012,0.0007,5.8e-06
134,500,0.1069,0.105,0.0012,0.0007,5.78e-06
135,500,0.1072,0.1053,0.0012,0.0007,5.77e-06
136,500,0.108,0.1061,0.0012,0.0007,5.75e-06
137,500,0.107,0.1051,0.0012,0.0007,5.74e-06
138,500,0.1065,0.1046,0.0012,0.0007,5.72e-06
139,500,0.1062,0.1043,0.0012,0.0007,5.7e-06
140,500,0.1059,0.104,0.0012,0.0007,5.69e-06
141,500,0.1065,0.1046,0.0012,0.0007,5.67e-06
142,500,0.106,0.1041,0.0012,0.0007,5.65e-06
143,500,0.1064,0.1045,0.0012,0.0007,5.64e-06
144,500,0.1057,0.1038,0.0012,0.0007,5.62e-06
145,500,0.1056,0.1037,0.0012,0.0007,5.6e-06
146,500,0.1062,0.1044,0.0012,0.0007,5.59e-06
147,500,0.1055,0.1037,0.0012,0.0007,5.57e-06
148,500,0.1056,0.1037,0.0012,0.0007,5.55e-06
149,500,0.1051,0.1033,0.0012,0.0007,5.54e-06
150,500,0.1055,0.1037,0.0012,0.0007,5.52e-06
151,500,0.1058,0.1039,0.0012,0.0007,5.5e-06
152,500,0.1061,0.1043,0.0012,0.0007,5.48e-06
153,500,0.1053,0.1035,0.0012,0.0007,5.47e-06
154,500,0.1045,0.1027,0.0012,0.0007,5.45e-06
155,500,0.1061,0.1042,0.0011,0.0007,5.43e-06
156,500,0.1044,0.1026,0.0011,0.0007,5.41e-06
157,500,0.105,0.1032,0.0012,0.0007,5.4e-06
158,500,0.1041,0.1023,0.0012,0.0007,5.38e-06
159,500,0.1042,0.1023,0.0012,0.0007,5.36e-06
160,500,0.1044,0.1026,0.0012,0.0007,5.34e-06
161,500,0.1048,0.103,0.0012,0.0007,5.33e-06
162,500,0.1037,0.1018,0.0012,0.0007,5.31e-06
163,500,0.1037,0.1019,0.0011,0.0007,5.29e-06
164,500,0.1037,0.1019,0.0012,0.0007,5.27e-06
165,500,0.1039,0.1021,0.0012,0.0007,5.25e-06
166,500,0.1044,0.1026,0.0011,0.0007,5.23e-06
167,500,0.1035,0.1017,0.0011,0.0007,5.22e-06
168,500,0.1031,0.1013,0.0011,0.0007,5.2e-06
169,500,0.1032,0.1014,0.0011,0.0007,5.18e-06
170,500,0.1034,0.1016,0.0012,0.0007,5.16e-06
171,500,0.1034,0.1016,0.0011,0.0007,5.14e-06
172,500,0.1024,0.1006,0.0011,0.0007,5.12e-06
173,500,0.1031,0.1013,0.0011,0.0007,5.1e-06
174,500,0.1031,0.1013,0.0011,0.0007,5.09e-06
175,500,0.1037,0.102,0.0011,0.0007,5.07e-06
176,500,0.1032,0.1014,0.0011,0.0007,5.05e-06
177,500,0.1025,0.1007,0.0011,0.0007,5.03e-06
178,500,0.1025,0.1007,0.0011,0.0007,5.01e-06
179,500,0.1039,0.1022,0.0011,0.0007,4.99e-06
180,500,0.102,0.1002,0.0011,0.0007,4.97e-06
181,500,0.1032,0.1014,0.0011,0.0007,4.95e-06
182,500,0.1019,0.1001,0.0011,0.0007,4.93e-06
183,500,0.1029,0.1011,0.0011,0.0007,4.91e-06
184,500,0.1028,0.1011,0.0011,0.0007,4.89e-06
185,500,0.1025,0.1007,0.0011,0.0007,4.87e-06
186,500,0.1027,0.1009,0.0011,0.0007,4.85e-06
187,500,0.1018,0.1,0.0011,0.0007,4.83e-06
188,500,0.1028,0.101,0.0011,0.0007,4.81e-06
189,500,0.1012,0.0995,0.0011,0.0007,4.79e-06
190,500,0.1026,0.1008,0.0011,0.0007,4.77e-06
191,500,0.1016,0.0998,0.0011,0.0007,4.75e-06
192,500,0.1019,0.1001,0.0011,0.0007,4.73e-06
193,500,0.1022,0.1004,0.0011,0.0007,4.71e-06
194,500,0.102,0.1002,0.0011,0.0007,4.69e-06
195,500,0.1013,0.0995,0.0011,0.0007,4.67e-06
196,500,0.1008,0.099,0.0011,0.0007,4.65e-06
197,500,0.1005,0.0987,0.0011,0.0007,4.63e-06
198,500,0.1016,0.0998,0.0011,0.0007,4.61e-06
199,500,0.1009,0.0991,0.0011,0.0007,4.59e-06
200,500,0.1012,0.0994,0.0011,0.0007,4.57e-06
201,500,0.1013,0.0995,0.0011,0.0007,4.55e-06
202,500,0.1006,0.0988,0.0011,0.0007,4.53e-06
203,500,0.1015,0.0997,0.0011,0.0007,4.51e-06
204,500,0.1012,0.0994,0.0011,0.0007,4.49e-06
205,500,0.1015,0.0997,0.0011,0.0007,4.47e-06
206,500,0.1011,0.0994,0.0011,0.0007,4.45e-06
207,500,0.1008,0.0991,0.0011,0.0007,4.43e-06
208,500,0.1013,0.0995,0.0011,0.0007,4.41e-06
209,500,0.0999,0.0981,0.0011,0.0007,4.39e-06
210,500,0.1008,0.099,0.0011,0.0007,4.37e-06
211,500,0.1007,0.099,0.0011,0.0007,4.35e-06
212,500,0.1002,0.0985,0.0011,0.0007,4.33e-06
213,500,0.101,0.0993,0.0011,0.0007,4.31e-06
214,500,0.1006,0.0988,0.0011,0.0007,4.28e-06
215,500,0.1006,0.0989,0.0011,0.0007,4.26e-06
216,500,0.1008,0.099,0.0011,0.0007,4.24e-06
217,500,0.0998,0.0981,0.0011,0.0007,4.22e-06
218,500,0.1,0.0982,0.0011,0.0007,4.2e-06
219,500,0.1008,0.0991,0.0011,0.0007,4.18e-06
220,500,0.1006,0.0989,0.0011,0.0007,4.16e-06
221,500,0.099,0.0973,0.0011,0.0007,4.14e-06
222,500,0.1002,0.0984,0.0011,0.0007,4.12e-06
223,500,0.1,0.0983,0.0011,0.0007,4.1e-06
224,500,0.0992,0.0975,0.0011,0.0007,4.07e-06
225,500,0.1,0.0983,0.0011,0.0007,4.05e-06
226,500,0.1006,0.0989,0.0011,0.0007,4.03e-06
227,500,0.0998,0.098,0.0011,0.0007,4.01e-06
228,500,0.0995,0.0978,0.0011,0.0007,3.99e-06
229,500,0.0995,0.0978,0.0011,0.0007,3.97e-06
230,500,0.1004,0.0987,0.0011,0.0007,3.95e-06
231,500,0.0991,0.0973,0.0011,0.0007,3.93e-06
232,500,0.0998,0.0981,0.0011,0.0007,3.9e-06
233,500,0.0989,0.0972,0.0011,0.0007,3.88e-06
234,500,0.1,0.0982,0.0011,0.0007,3.86e-06
235,500,0.0992,0.0975,0.0011,0.0007,3.84e-06
236,500,0.0994,0.0977,0.001,0.0007,3.82e-06
237,500,0.0993,0.0976,0.0011,0.0007,3.8e-06
238,500,0.0992,0.0975,0.0011,0.0007,3.78e-06
239,500,0.1,0.0983,0.0011,0.0007,3.75e-06
240,500,0.0991,0.0974,0.0011,0.0007,3.73e-06
241,500,0.0994,0.0977,0.0011,0.0007,3.71e-06
242,500,0.0986,0.0969,0.001,0.0007,3.69e-06
243,500,0.0985,0.0968,0.001,0.0007,3.67e-06
244,500,0.0986,0.0969,0.0011,0.0007,3.65e-06
245,500,0.0994,0.0977,0.001,0.0007,3.63e-06
246,500,0.0995,0.0978,0.001,0.0007,3.6e-06
247,500,0.0994,0.0977,0.001,0.0007,3.58e-06
248,500,0.0988,0.0971,0.001,0.0007,3.56e-06
249,500,0.0983,0.0966,0.001,0.0007,3.54e-06
250,500,0.0987,0.097,0.001,0.0007,3.52e-06
251,500,0.0985,0.0968,0.001,0.0007,3.5e-06
252,500,0.0982,0.0965,0.001,0.0007,3.48e-06
253,500,0.0982,0.0965,0.001,0.0007,3.45e-06
254,500,0.0987,0.097,0.001,0.0007,3.43e-06
255,500,0.099,0.0973,0.001,0.0007,3.41e-06
256,500,0.0978,0.0961,0.001,0.0007,3.39e-06
257,500,0.0975,0.0958,0.001,0.0007,3.37e-06
258,500,0.0982,0.0965,0.001,0.0007,3.35e-06
259,500,0.0979,0.0962,0.001,0.0007,3.32e-06
260,500,0.0977,0.096,0.001,0.0007,3.3e-06
261,500,0.0985,0.0969,0.001,0.0007,3.28e-06
262,500,0.0988,0.0971,0.001,0.0007,3.26e-06
263,500,0.0986,0.0969,0.001,0.0007,3.24e-06
264,500,0.098,0.0964,0.001,0.0007,3.22e-06
265,500,0.0984,0.0967,0.001,0.0007,3.2e-06
266,500,0.0987,0.097,0.001,0.0007,3.17e-06
267,500,0.0974,0.0958,0.001,0.0007,3.15e-06
268,500,0.098,0.0964,0.001,0.0007,3.13e-06
269,500,0.0981,0.0964,0.001,0.0006,3.11e-06
270,500,0.098,0.0963,0.001,0.0006,3.09e-06
271,500,0.0976,0.0959,0.001,0.0006,3.07e-06
272,500,0.0979,0.0962,0.001,0.0007,3.05e-06
273,500,0.0977,0.096,0.001,0.0006,3.03e-06
274,500,0.0971,0.0954,0.001,0.0006,3e-06
275,500,0.0981,0.0964,0.001,0.0006,2.98e-06
276,500,0.0976,0.0959,0.001,0.0006,2.96e-06
277,500,0.0977,0.096,0.001,0.0006,2.94e-06
278,500,0.098,0.0963,0.001,0.0006,2.92e-06
279,500,0.0968,0.0951,0.001,0.0006,2.9e-06
280,500,0.097,0.0953,0.001,0.0006,2.88e-06
281,500,0.0978,0.0961,0.001,0.0006,2.86e-06
282,500,0.0973,0.0957,0.001,0.0006,2.83e-06
283,500,0.0975,0.0958,0.001,0.0006,2.81e-06
284,500,0.0975,0.0959,0.001,0.0006,2.79e-06
285,500,0.0968,0.0952,0.001,0.0006,2.77e-06
286,500,0.097,0.0953,0.001,0.0006,2.75e-06
